Module,Lesson,Step number,Step title,Step type,What is the rationale for this step?,Content Outline
1,7,6,Simple diagram of basic robot parts with kid-friendly labels,Activity,Understanding Simple diagram of basic robot parts with kid-friendly labels is important for mastering this subject matter.,- Key content in this section
1,7,7,Progress tracker visual that students will update throughout the course,Content,Understanding Progress tracker visual that students will update throughout the course is important for mastering this subject matter.,- Key content in this section
1,8,1,Robot Parts Glossary with simple definitions and pronunciation guide,Content,Understanding Robot Parts Glossary with simple definitions and pronunciation guide is important for mastering this subject matter.,- Key content in this section
1,8,2,"Visual word wall with key terms (robot, machine, program, sensor)",Content,"Understanding Visual word wall with key terms (robot, machine, program, sensor) is important for mastering this subject matter.",- Key content in this section
1,8,3,"""New Word Alert"" boxes highlighting important terminology",Content,"Understanding ""New Word Alert"" boxes highlighting important terminology is important for mastering this subject matter.",- Key content in this section
1,8,4,Consistent use of the same terms throughout,Content,Understanding Consistent use of the same terms throughout is important for mastering this subject matter.,- Key content in this section
1,8,5,Audio pronunciation for technical terms,Content,Understanding Audio pronunciation for technical terms is important for mastering this subject matter.,- Key content in this section
1,9,1,Digital poster creation showing 5 robots in everyday life,Content,Understanding Digital poster creation showing 5 robots in everyday life is important for mastering this subject matter.,- Key content in this section
1,9,2,"For each robot, students explain what makes it a robot using the input-processing-output framework",Content,"Understanding For each robot, students explain what makes it a robot using the input-processing-output framework is important for mastering this subject matter.",- Key content in this section
1,9,3,Self-check quiz with immediate feedback and second attempts,Quiz,Understanding Self-check quiz with immediate feedback and second attempts is important for mastering this subject matter.,- Key content in this section
1,9,4,"Optional extension: Draw your own robot and label its parts according to input, processing, output",Activity,"Understanding Optional extension: Draw your own robot and label its parts according to input, processing, output is important for mastering this subject matter.",- Key content in this section
1,10,1,"""Robot Detective"" theme throughout the module",Content,"Understanding ""Robot Detective"" theme throughout the module is important for mastering this subject matter.",- Key content in this section
1,10,2,"""Did You Know?"" fun facts about unusual robots",Content,"Understanding ""Did You Know?"" fun facts about unusual robots is important for mastering this subject matter.",- Key content in this section
1,10,3,Short robot stories that illustrate key concepts,Content,Understanding Short robot stories that illustrate key concepts is important for mastering this subject matter.,- Key content in this section
1,10,4,"Personal connection questions: ""What robot would you want in your home?""",Content,"Understanding Personal connection questions: ""What robot would you want in your home?"" is important for mastering this subject matter.",- Key content in this section
1,10,5,"""Robot Myth vs. Reality"" comparisons from movies and real life",Content,"Understanding ""Robot Myth vs. Reality"" comparisons from movies and real life is important for mastering this subject matter.",- Key content in this section
1,11,1,Text-to-speech for all content,Content,Understanding Text-to-speech for all content is important for mastering this subject matter.,- Key content in this section
1,11,2,Alternative image descriptions,Content,Understanding Alternative image descriptions is important for mastering this subject matter.,- Key content in this section
1,11,3,Option to complete poster using text descriptions instead of visuals,Content,Understanding Option to complete poster using text descriptions instead of visuals is important for mastering this subject matter.,- Key content in this section
1,11,4,"Multiple response formats (typing, selecting, or recording answers)",Content,"Understanding Multiple response formats (typing, selecting, or recording answers) is important for mastering this subject matter.",- Key content in this section
1,12,1,Content review: 1-1.5 hours,Content,Understanding Content review: 1-1.5 hours is important for mastering this subject matter.,- Key content in this section
1,12,2,Interactive activities: 30-45 minutes,Content,Understanding Interactive activities: 30-45 minutes is important for mastering this subject matter.,- Key content in this section
1,12,3,Assessment activities: 45-60 minutes,Quiz,Understanding Assessment activities: 45-60 minutes is important for mastering this subject matter.,- Key content in this section
1,12,4,Extension activities: 30 minutes (optional),Content,Understanding Extension activities: 30 minutes (optional) is important for mastering this subject matter.,- Key content in this section
1,13,1,Learning Content,Content,This content provides essential information for the learning journey.,"- ""Now that we understand what robots are and have been introduced to the input-processing-output framework, we're ready to examine robot systems in greater detail.
- In Module 2, we'll explore how robot parts work together as complete systems - similar to how various systems in your body help you move, sense, and think."
2,1,1,Learning Content,Content,This content provides essential information for the learning journey.,"- Building on our robot definition and input-processing-output framework, this module explores how robots function as complete systems.
- Students will learn about robot parts and how they connect to form input-processing-output systems - which work together like connected systems."
2,3,1,"Simple explanation of what a ""system"" means (parts working together)",Quiz,"Understanding Simple explanation of what a ""system"" means (parts working together) is important for mastering this subject matter.","- Reinforcement of the input-processing-output model with everyday examples
- Examples showing how robot systems relate to everyday systems students already know
- Visual diagram showing how systems connect in both robots and humans
- ""Stop and Think"": What systems do you use every day? How do they connect input, processing, and output?"
2,4,1,"Types of input devices (buttons, sensors, cameras, microphones)",Quiz,"Understanding Types of input devices (buttons, sensors, cameras, microphones) is important for mastering this subject matter.","- How input devices gather information from the environment
- Real examples of input in familiar technologies (game controllers, phones)
- Chart showing different types of robot sensors and what they detect
- Simple input device matching activity
- ""Stop and Think"": If you were designing a robot for your classroom, what inputs would it need?"
2,5,1,"Simple explanation of the robot ""brain"" (controller or computer)",Quiz,"Understanding Simple explanation of the robot ""brain"" (controller or computer) is important for mastering this subject matter.","- How the brain processes information using programs
- Different types of ""brains"" (microcontrollers, computers, specialized processors)
- Examples of how robot brains make different types of decisions
- Simple branching decision tree activity showing how robots process information
- ""Stop and Think"": How do you process information before making a decision? What decision steps might a robot need to follow?"
2,6,1,"Types of output devices (motors, speakers, lights, screens)",Quiz,"Understanding Types of output devices (motors, speakers, lights, screens) is important for mastering this subject matter.","- How output devices allow robots to affect their environment
- Examples of output in familiar technologies
- Output device sorting activity
- Basic safety considerations for different output types
- ""Stop and Think"": What outputs would be most important for a robot in your home?"
2,7,1,"Different materials robots can be made from (plastic, metal, fabric)",Content,"Understanding Different materials robots can be made from (plastic, metal, fabric) is important for mastering this subject matter.","- How robot bodies are designed for specific tasks and environments
- Examples of robot designs for different environments (underwater, space, homes)
- Ethical considerations in choosing materials (environmental impact, durability)
- Material properties exploration activity"
2,8,1,"Simple explanation of how robots get power (batteries, plugs, solar)",Quiz,"Understanding Simple explanation of how robots get power (batteries, plugs, solar) is important for mastering this subject matter.","- Review of different power sources with their strengths and weaknesses
- Environmental considerations for different power sources
- Examples of how power affects what robots can do
- ""Stop and Think"": What would happen if a robot ran out of power? How can this be prevented?"
2,9,1,How all parts work together to form a complete robot system,Content,Understanding How all parts work together to form a complete robot system is important for mastering this subject matter.,"- Simple flowchart showing information flow through a robot system
- Common connection types between components
- Troubleshooting basics when systems don't work together
- System integration matching activity"
2,10,1,Simple flowchart showing input → processing → output with consistent icons,Content,Understanding Simple flowchart showing input → processing → output with consistent icons is important for mastering this subject matter.,- Key content in this section
2,10,2,Side-by-side examples of different robot systems with detailed labels,Activity,Understanding Side-by-side examples of different robot systems with detailed labels is important for mastering this subject matter.,- Key content in this section
2,10,3,Color-coded system diagrams showing component connections,Content,Understanding Color-coded system diagrams showing component connections is important for mastering this subject matter.,- Key content in this section
2,10,4,Clear photographs of different robot parts with labels and function descriptions,Activity,Understanding Clear photographs of different robot parts with labels and function descriptions is important for mastering this subject matter.,- Key content in this section
2,10,5,"""Build-a-Robot"" interactive diagram where students identify parts and their functions",Activity,"Understanding ""Build-a-Robot"" interactive diagram where students identify parts and their functions is important for mastering this subject matter.",- Key content in this section
2,10,6,Visual guide to different robot materials with examples and properties,Quiz,Understanding Visual guide to different robot materials with examples and properties is important for mastering this subject matter.,- Key content in this section
2,10,7,Power source reference chart with simple icons for advantages/disadvantages,Content,Understanding Power source reference chart with simple icons for advantages/disadvantages is important for mastering this subject matter.,- Key content in this section
2,11,1,New term alert boxes that highlight and define technical terms,Content,Understanding New term alert boxes that highlight and define technical terms is important for mastering this subject matter.,- Key content in this section
2,11,2,"Visual vocabulary cards for system, input, processing, output",Content,"Understanding Visual vocabulary cards for system, input, processing, output is important for mastering this subject matter.",- Key content in this section
2,11,3,Simple examples that connect new terms to familiar concepts,Quiz,Understanding Simple examples that connect new terms to familiar concepts is important for mastering this subject matter.,- Key content in this section
2,11,4,Vocabulary review activities built into content,Content,Understanding Vocabulary review activities built into content is important for mastering this subject matter.,- Key content in this section
2,11,5,Word bank that grows throughout the module,Content,Understanding Word bank that grows throughout the module is important for mastering this subject matter.,- Key content in this section
2,11,6,Technical term pronunciation guide with audio support,Content,Understanding Technical term pronunciation guide with audio support is important for mastering this subject matter.,- Key content in this section
2,12,1,Interactive labeling activity where students identify parts in a robot system,Activity,Understanding Interactive labeling activity where students identify parts in a robot system is important for mastering this subject matter.,- Key content in this section
2,12,2,Matching game connecting robot parts to their functions within the input-processing-output model,Content,Understanding Matching game connecting robot parts to their functions within the input-processing-output model is important for mastering this subject matter.,- Key content in this section
2,12,3,Create a diagram showing how information flows through a robot,Activity,Understanding Create a diagram showing how information flows through a robot is important for mastering this subject matter.,- Key content in this section
2,12,4,Self-assessment questions with immediate feedback and revision opportunities,Quiz,Understanding Self-assessment questions with immediate feedback and revision opportunities is important for mastering this subject matter.,- Key content in this section
2,12,5,"""Design Your Own System"" activity where students select components for a specific purpose",Activity,"Understanding ""Design Your Own System"" activity where students select components for a specific purpose is important for mastering this subject matter.",- Key content in this section
2,13,1,"""Robot Builder"" theme throughout the module",Activity,"Understanding ""Robot Builder"" theme throughout the module is important for mastering this subject matter.",- Key content in this section
2,13,2,Robot system puzzle challenges with progressive difficulty,Content,Understanding Robot system puzzle challenges with progressive difficulty is important for mastering this subject matter.,- Key content in this section
2,13,3,Real stories about how robot systems helped solve problems,Content,Understanding Real stories about how robot systems helped solve problems is important for mastering this subject matter.,- Key content in this section
2,13,4,"Connections to systems students use (bicycles, video games, music players)",Content,"Understanding Connections to systems students use (bicycles, video games, music players) is important for mastering this subject matter.",- Key content in this section
2,13,5,Virtual robot examination tool to explore different robot systems,Quiz,Understanding Virtual robot examination tool to explore different robot systems is important for mastering this subject matter.,- Key content in this section
2,14,1,Alternative descriptions for all diagrams and images,Content,Understanding Alternative descriptions for all diagrams and images is important for mastering this subject matter.,- Key content in this section
2,14,2,Audio support for technical terms,Content,Understanding Audio support for technical terms is important for mastering this subject matter.,- Key content in this section
2,14,3,Multiple ways to complete system activities (visual or text-based),Content,Understanding Multiple ways to complete system activities (visual or text-based) is important for mastering this subject matter.,- Key content in this section
2,14,4,Simplified versions of activities for students needing additional support,Content,Understanding Simplified versions of activities for students needing additional support is important for mastering this subject matter.,- Key content in this section
2,14,5,Extension activities for students ready for more challenge,Content,Understanding Extension activities for students ready for more challenge is important for mastering this subject matter.,- Key content in this section
2,15,1,Content review: 1.5 hours,Content,Understanding Content review: 1.5 hours is important for mastering this subject matter.,- Key content in this section
2,15,2,Interactive activities: 45 minutes,Content,Understanding Interactive activities: 45 minutes is important for mastering this subject matter.,- Key content in this section
2,15,3,Assessment activities: 45-60 minutes,Quiz,Understanding Assessment activities: 45-60 minutes is important for mastering this subject matter.,- Key content in this section
2,15,4,Extension activities: 30 minutes (optional),Content,Understanding Extension activities: 30 minutes (optional) is important for mastering this subject matter.,- Key content in this section
2,16,1,Learning Content,Content,This content provides essential information for the learning journey.,"- ""Now that we understand the parts that make up a robot system using our input-processing-output framework, let's focus on one important output: movement!
- In Module 3, we'll discover different ways robots can move around and how motors and simple machines help them move in interesting ways."
3,1,1,Learning Content,Content,This content provides essential information for the learning journey.,"- This module zooms in on how robots create movement as an output function.
- Students will explore different types of robot movement, learn about motors and simple machines, discover how robot movement relates to human and animal movement, and consider safety and ethical aspects of robot movement."
3,3,1,Why movement matters for robots as an output function,Quiz,Understanding Why movement matters for robots as an output function is important for mastering this subject matter.,"- Different jobs that require different types of movement
- Comparison between moving and non-moving robots
- Movement as a response to sensor inputs and processor decisions
- Basic safety considerations for moving robots
- ""Stop and Think"": Why might a robot need to move? How does the input-processing-output model apply?"
3,4,1,"Different wheel arrangements (two wheels, four wheels, tank treads)",Quiz,"Understanding Different wheel arrangements (two wheels, four wheels, tank treads) is important for mastering this subject matter.","- Benefits and limitations of wheels for movement
- Differences between moving and non-moving robots
- Real-world examples of wheeled robots students might recognize
- Simple wheel demonstration activity
- ""Stop and Think"": Why do most robots use wheels instead of legs?"
3,5,1,"Different leg designs (two legs, four legs, six legs)",Quiz,"Understanding Different leg designs (two legs, four legs, six legs) is important for mastering this subject matter.","- Why legs can be better than wheels in certain situations
- The challenges of programming balance for legged robots
- Examples of walking robots in real life
- Table showing when to use legs vs. wheels with their pros and cons
- ""Stop and Think"": Would you rather build a robot with wheels or legs? Why?"
3,6,1,"Flying robots (propellers, wings) - benefits and safety considerations",Quiz,"Understanding Flying robots (propellers, wings) - benefits and safety considerations is important for mastering this subject matter.","- Swimming robots (fins, propellers) - waterproofing challenges
- Unusual movement methods (jumping, rolling, slithering)
- Movement method sorting activity
- Ethical considerations for robots that move in public spaces
- ""Stop and Think"": How might different environments require different movement methods?"
3,7,1,Simple explanation of what motors are and how they work,Content,Understanding Simple explanation of what motors are and how they work is important for mastering this subject matter.,"- Different types of motors (servo motors, DC motors, stepper motors)
- How motors convert electrical energy to movement (output)
- How the robot brain (processor) controls motors
- Motor speed and strength comparisons
- Basic motor safety considerations
- Simple motor control activity"
3,8,1,"Introduction to gears, pulleys, and levers as movement multipliers",Quiz,"Understanding Introduction to gears, pulleys, and levers as movement multipliers is important for mastering this subject matter.","- How simple machines help robots move better
- Gear ratios explained in simple terms (trading speed for strength)
- Examples of simple machines in familiar objects
- Simple machine identification activity
- ""Stop and Think"": How could simple machines help a robot lift heavy objects?"
3,9,1,How engineers get ideas from nature (biomimicry),Quiz,Understanding How engineers get ideas from nature (biomimicry) is important for mastering this subject matter.,"- Comparing robot movement to animal movement
- Examples of robots designed to move like animals
- Ethical considerations when creating animal-like robots
- Movement comparison matching activity
- ""Stop and Think"": What animal's movement would be useful for a robot at your school?"
3,10,1,Basic concept of how movement is programmed,Quiz,Understanding Basic concept of how movement is programmed is important for mastering this subject matter.,"- Simple movement commands (forward, turn, speed)
- How sensors affect movement decisions
- Preview of programming concepts from Modules 5-6
- Simple movement sequence activity
- ""Stop and Think"": What instructions would you give a robot to navigate around your desk?"
3,11,1,Side-by-side photos of different robot movement methods with clear labels,Activity,Understanding Side-by-side photos of different robot movement methods with clear labels is important for mastering this subject matter.,- Key content in this section
3,11,2,Simple animations or video clips showing different movements,Content,Understanding Simple animations or video clips showing different movements is important for mastering this subject matter.,- Key content in this section
3,11,3,Labeled diagrams of motors and simple machines with consistent color-coding,Activity,Understanding Labeled diagrams of motors and simple machines with consistent color-coding is important for mastering this subject matter.,- Key content in this section
3,11,4,Visual comparison charts of movement methods with pros/cons,Content,Understanding Visual comparison charts of movement methods with pros/cons is important for mastering this subject matter.,- Key content in this section
3,11,5,Step-by-step visual guides for the movement design activity,Activity,Understanding Step-by-step visual guides for the movement design activity is important for mastering this subject matter.,- Key content in this section
3,11,6,Safety alert icons highlighting important precautions,Content,Understanding Safety alert icons highlighting important precautions is important for mastering this subject matter.,- Key content in this section
3,11,7,Flowcharts showing how the processor controls movement based on inputs,Content,Understanding Flowcharts showing how the processor controls movement based on inputs is important for mastering this subject matter.,- Key content in this section
3,11,8,Biomimicry comparison charts showing animals and corresponding robots,Content,Understanding Biomimicry comparison charts showing animals and corresponding robots is important for mastering this subject matter.,- Key content in this section
3,12,1,"Movement vocabulary visual dictionary (wheels, legs, motors, etc.)",Content,"Understanding Movement vocabulary visual dictionary (wheels, legs, motors, etc.) is important for mastering this subject matter.",- Key content in this section
3,12,2,"Simple definitions provided immediately for terms like ""servo,"" ""gear ratio""",Content,"Understanding Simple definitions provided immediately for terms like ""servo,"" ""gear ratio"" is important for mastering this subject matter.",- Key content in this section
3,12,3,Everyday examples that connect technical terms to familiar concepts,Quiz,Understanding Everyday examples that connect technical terms to familiar concepts is important for mastering this subject matter.,- Key content in this section
3,12,4,Repetition of key terms in different contexts for reinforcement,Content,Understanding Repetition of key terms in different contexts for reinforcement is important for mastering this subject matter.,- Key content in this section
3,12,5,"""Word Connection"" features showing relationships between technical terms",Content,"Understanding ""Word Connection"" features showing relationships between technical terms is important for mastering this subject matter.",- Key content in this section
3,12,6,Audio pronunciation for all technical terms,Content,Understanding Audio pronunciation for all technical terms is important for mastering this subject matter.,- Key content in this section
3,13,1,Design sketch of a robot that moves in a specific way for a specific purpose,Content,Understanding Design sketch of a robot that moves in a specific way for a specific purpose is important for mastering this subject matter.,- Key content in this section
3,13,2,Students must explain their movement choice and label the parts using the input-processing-output framework,Activity,Understanding Students must explain their movement choice and label the parts using the input-processing-output framework is important for mastering this subject matter.,- Key content in this section
3,13,3,Movement method comparison chart with advantages and limitations,Content,Understanding Movement method comparison chart with advantages and limitations is important for mastering this subject matter.,- Key content in this section
3,13,4,Self-check quiz on different movement methods with immediate feedback,Quiz,Understanding Self-check quiz on different movement methods with immediate feedback is important for mastering this subject matter.,- Key content in this section
3,13,5,Movement troubleshooting scenarios - what might be wrong if the robot isn't moving correctly?,Content,Understanding Movement troubleshooting scenarios - what might be wrong if the robot isn't moving correctly? is important for mastering this subject matter.,- Key content in this section
3,13,6,Optional extension: Test different wheel arrangements using everyday materials,Quiz,Understanding Optional extension: Test different wheel arrangements using everyday materials is important for mastering this subject matter.,- Key content in this section
3,14,1,"""Robot Olympics"" theme comparing different movement methods",Content,"Understanding ""Robot Olympics"" theme comparing different movement methods is important for mastering this subject matter.",- Key content in this section
3,14,2,Stories about funny robot movement failures and successes,Content,Understanding Stories about funny robot movement failures and successes is important for mastering this subject matter.,- Key content in this section
3,14,3,Real-world robot videos with guided observation questions,Content,Understanding Real-world robot videos with guided observation questions is important for mastering this subject matter.,- Key content in this section
3,14,4,"Personal connection: ""What would be the best way for a robot to move around your home?""",Content,"Understanding Personal connection: ""What would be the best way for a robot to move around your home?"" is important for mastering this subject matter.",- Key content in this section
3,14,5,"""Movement Mission"" challenges with specific movement goals",Content,"Understanding ""Movement Mission"" challenges with specific movement goals is important for mastering this subject matter.",- Key content in this section
3,14,6,Virtual robot simulator showing different movement types,Content,Understanding Virtual robot simulator showing different movement types is important for mastering this subject matter.,- Key content in this section
3,15,1,Text descriptions of all movement videos and animations,Content,Understanding Text descriptions of all movement videos and animations is important for mastering this subject matter.,- Key content in this section
3,15,2,Alternative assessment options using text descriptions instead of drawings,Quiz,Understanding Alternative assessment options using text descriptions instead of drawings is important for mastering this subject matter.,- Key content in this section
3,15,3,Simplified versions of activities for students needing additional support,Content,Understanding Simplified versions of activities for students needing additional support is important for mastering this subject matter.,- Key content in this section
3,15,4,Extension options for students ready for more complex concepts,Content,Understanding Extension options for students ready for more complex concepts is important for mastering this subject matter.,- Key content in this section
3,15,5,"Multiple ways to demonstrate understanding (visual, written, verbal)",Content,"Understanding Multiple ways to demonstrate understanding (visual, written, verbal) is important for mastering this subject matter.",- Key content in this section
3,16,1,Content review: 1.5 hours,Content,Understanding Content review: 1.5 hours is important for mastering this subject matter.,- Key content in this section
3,16,2,Interactive activities: 45 minutes,Content,Understanding Interactive activities: 45 minutes is important for mastering this subject matter.,- Key content in this section
3,16,3,Assessment activities: 1 hour,Quiz,Understanding Assessment activities: 1 hour is important for mastering this subject matter.,- Key content in this section
3,16,4,Extension activities: 30 minutes (optional),Content,Understanding Extension activities: 30 minutes (optional) is important for mastering this subject matter.,- Key content in this section
3,17,1,Learning Content,Content,This content provides essential information for the learning journey.,"- ""Our robots can now move around using the output components we've learned about, but they need to understand the world around them to move safely and effectively!
- In Module 4, we'll explore how robots use sensors as input devices to detect sight, sound, and touch in their environment - which helps them navigate their surroundings."
4,1,1,Learning Content,Content,This content provides essential information for the learning journey.,"- This module helps students discover how robots gather information through input devices called sensors.
- Through exploring how robot sensors detect information, students will understand how robots detect light, touch, and detect the world around them."
4,3,1,Why robots need to sense their environment as part of the input function,Quiz,Understanding Why robots need to sense their environment as part of the input function is important for mastering this subject matter.,"- How robot sensors detect different types of information
- Overview of different information robots might need to collect
- How sensor information flows to the processing unit (brain)
- Preview of how sensor data will be used in programming (Modules 5-6)
- ""Stop and Think"": What senses do you use most in your daily life? What might happen if you lost one of your senses?"
4,4,1,Simple explanation of light sensors and cameras as input devices,Quiz,Understanding Simple explanation of light sensors and cameras as input devices is important for mastering this subject matter.,"- How robots process visual information through pixels and digital images
- Examples of robots that use vision (line-following robots, facial recognition)
- Privacy considerations when robots use cameras
- Light detection demonstration activity
- Connection to programming: ""When the robot detects X, it responds with Y""
- ""Stop and Think"": What are the benefits and concerns of robots that can recognize faces?"
4,5,1,How touch sensors and bump sensors work as input devices,Quiz,Understanding How touch sensors and bump sensors work as input devices is important for mastering this subject matter.,"- Uses for touch detection in robotics (obstacle avoidance, pressure sensing)
- Examples in everyday technology (elevator buttons, touchscreens)
- Safety features using touch sensors (stopping when contact is detected)
- Touch sensor simulation activity
- Connection to programming: ""When the robot detects touch at X, it responds with Y""
- ""Stop and Think"": Where do you see touch sensors in your daily life? How do they make things safer?"
4,6,1,Simple explanation of how distance sensors work as input devices,Quiz,Understanding Simple explanation of how distance sensors work as input devices is important for mastering this subject matter.,"- Different ways to measure distance (sound waves, light beams)
- Examples of distance sensors in everyday life (parking sensors, automatic doors)
- How distance measurement helps robots navigate safely
- Distance sensing demonstration
- Connection to programming: ""When something is X distance away, the robot responds with Y""
- ""Stop and Think"": How could distance sensors help a robot navigate your classroom?"
4,7,1,Sound sensors (microphones) and their applications,Quiz,Understanding Sound sensors (microphones) and their applications is important for mastering this subject matter.,"- Temperature sensors and how they protect robots
- Motion sensors and how they detect changes
- Color sensors and their use in sorting tasks
- Environmental sensors (humidity, gas detection)
- Sensor identification activity
- Connection to programming: examples of each sensor type triggering different actions
- ""Stop and Think"": What unusual sensor might be useful for a robot at your school?"
4,8,1,How sensor information travels to the robot brain,Quiz,Understanding How sensor information travels to the robot brain is important for mastering this subject matter.,"- The connection between sensing and decision-making
- Simple flowcharts showing sensor → processing → output paths
- Examples of sensor-action pairs in robots
- Troubleshooting when sensors don't work correctly
- Decision-making activity based on sensor inputs
- ""Stop and Think"": How might a robot use a distance sensor to avoid hitting a wall? What's the step-by-step process?"
4,9,1,Why robots often need more than one type of sensor,Quiz,Understanding Why robots often need more than one type of sensor is important for mastering this subject matter.,"- How different sensors work together to create a complete picture
- Examples of robots with multiple sensors (vacuum robots, self-driving cars)
- Advantages of sensor fusion (combining data from multiple sensors)
- Privacy and ethical considerations when robots collect multiple types of data
- Sensor combination matching activity
- ""Stop and Think"": What three sensors would be most important for a robot in your home?"
4,10,1,How to choose the right sensors for specific robot tasks,Quiz,Understanding How to choose the right sensors for specific robot tasks is important for mastering this subject matter.,"- Where to place sensors on a robot for maximum effectiveness
- Dealing with sensor limitations and blind spots
- Budget and power considerations when selecting sensors
- Sensor placement design activity
- ""Stop and Think"": If you could only use three sensors on your robot, which would you choose and why?"
4,11,1,Detailed illustrations of how different robot sensors function,Content,Understanding Detailed illustrations of how different robot sensors function is important for mastering this subject matter.,- Key content in this section
4,11,2,Simple diagrams showing how each sensor type works with clear labels,Activity,Understanding Simple diagrams showing how each sensor type works with clear labels is important for mastering this subject matter.,- Key content in this section
4,11,3,Color-coded flowcharts showing sensor → brain → action pathways,Content,Understanding Color-coded flowcharts showing sensor → brain → action pathways is important for mastering this subject matter.,- Key content in this section
4,11,4,Photos of real sensors with clear labels and function descriptions,Activity,Understanding Photos of real sensors with clear labels and function descriptions is important for mastering this subject matter.,- Key content in this section
4,11,5,"""Sensor in Action"" sequence diagrams showing real-world applications",Content,"Understanding ""Sensor in Action"" sequence diagrams showing real-world applications is important for mastering this subject matter.",- Key content in this section
4,11,6,Robot sensor placement guides with example photos and explanations,Quiz,Understanding Robot sensor placement guides with example photos and explanations is important for mastering this subject matter.,- Key content in this section
4,11,7,Reference guides for different sensor types,Content,Understanding Reference guides for different sensor types is important for mastering this subject matter.,- Key content in this section
4,11,8,Privacy and ethics icons highlighting important considerations,Content,Understanding Privacy and ethics icons highlighting important considerations is important for mastering this subject matter.,- Key content in this section
4,12,1,Sensor vocabulary cards with simple definitions and visual examples,Quiz,Understanding Sensor vocabulary cards with simple definitions and visual examples is important for mastering this subject matter.,- Key content in this section
4,12,2,"""Technical Term Spotlight"" boxes that break down complex words",Content,"Understanding ""Technical Term Spotlight"" boxes that break down complex words is important for mastering this subject matter.",- Key content in this section
4,12,3,Visual examples of each sensor type with everyday comparisons,Quiz,Understanding Visual examples of each sensor type with everyday comparisons is important for mastering this subject matter.,- Key content in this section
4,12,4,Consistent color-coding for different sensor categories,Content,Understanding Consistent color-coding for different sensor categories is important for mastering this subject matter.,- Key content in this section
4,12,5,"Simplified explanations of technical terms (ultrasonic = ""using sound waves to measure distance"")",Content,"Understanding Simplified explanations of technical terms (ultrasonic = ""using sound waves to measure distance"") is important for mastering this subject matter.",- Key content in this section
4,12,6,Word connections showing relationships between concepts,Content,Understanding Word connections showing relationships between concepts is important for mastering this subject matter.,- Key content in this section
4,12,7,Audio support for technical terminology,Content,Understanding Audio support for technical terminology is important for mastering this subject matter.,- Key content in this section
4,13,1,Matching activity connecting sensors to appropriate robot tasks,Activity,Understanding Matching activity connecting sensors to appropriate robot tasks is important for mastering this subject matter.,- Key content in this section
4,13,2,"For each match, students explain why that sensor works best using the input-processing-output framework",Content,"Understanding For each match, students explain why that sensor works best using the input-processing-output framework is important for mastering this subject matter.",- Key content in this section
4,13,3,Sensor identification quiz with everyday examples and immediate feedback,Quiz,Understanding Sensor identification quiz with everyday examples and immediate feedback is important for mastering this subject matter.,- Key content in this section
4,13,4,"Create a sensor selection plan for a specific robot purpose (e.g., kitchen helper, classroom assistant)",Activity,"Understanding Create a sensor selection plan for a specific robot purpose (e.g., kitchen helper, classroom assistant) is important for mastering this subject matter.",- Key content in this section
