Module,Lesson,Step number,Step title,Step type,what_is_the_rationale_for_this_step?,Content Outline,question,answer,category,difficulty,What is the rationale for this step?
3,3,1,Home-Based Cardio Activities,Content,"This step provides students with a variety of accessible, equipment-free and low-cost cardio activities they can perform at home, supporting the development of cardiovascular fitness and promoting physical activity engagement. By offering a range of options adaptable to small spaces, this step empowers students to integrate regular exercise into their daily routines, aligning with broader educational objectives of fostering lifelong health and wellness.","- Define flexibility and explain its importance for overall health and fitness
- Differentiate between static and dynamic stretching techniques
- Outline safe stretching guidelines, including duration, intensity, and breathing
- Demonstrate key stretches for the major muscle groups and when to incorporate them",?,,general,medium,"Module: 4 Lesson: 3 Title: Flexibility Training Type: Content Strengthened Rationale: This step emphasizes the importance of flexibility training and provides guidance on safe, effective stretching techniques. By explaining the different types of stretching and their benefits, the content helps students understand the role of flexibility in overall physical well-being and injury prevention. The clear, evidence-based instructions on proper form and timing support the module's objective of empowering learners to develop comprehensive, sustainable fitness habits that can be easily integrated into their daily lives."
3,4,1,Tracking and Reflecting,Activity,"Setting up a simple cardio log
  - Recording important information:

    - Type of activity
    - Time spent exercising
    - Intensity level (1-5)
    - How you felt during and after
  - Using your log to set new goals

**Activities**

- **Heart Rate Experiment**: Measure your heart rate when resting, after walking, and after running
- **Create-Your-Own Cardio Routine**: Design a 10-minute routine using 3-4 different movements
- **Cardio Challenge Calendar**: Complete different cardio activities throughout the week
- **Music Motivation**: Create a playlist of songs that keep you moving during exercise

**Visual Supports to Include**

- Animated diagram showing how the heart works during exercise
- Step-by-step photos for finding pulse and counting heart rate
- Visual RPE scale with images of kids at different exertion levels
- Video demonstrations of each cardio exercise with modifications

**Vocabulary Support**

- **Cardiovascular**: Related to your heart and blood vessels
- **Pulse**: The feeling of your heart beating that you can count
- **Intensity**: How hard your body is working during exercise
- **Target heart rate**: The heart rate range that gives you the most benefits

**Engagement Strategies**

- **Stop and Think**: ""How does your body feel different when your heart rate increases?","- Setting up a simple cardio log
- Recording important information:
- Type of activity
- Time spent exercising
- Intensity level (1-5)
- How you felt during and after
- Using your log to set new goals",?,,general,medium,
4,1,1,Understanding Your Muscles,Content,"Understanding the major muscle groups and how they work in pairs is essential for learners to develop a foundational knowledge of human anatomy and physiology. This step lays the groundwork for students to apply this understanding to improving strength, flexibility, and overall physical function in their daily lives, aligning with the broader objectives of the Strength & Flexibility module.","- Major muscle groups in simple terms:
- Arms (biceps and triceps)
- Shoulders (deltoids)
- Chest (pectorals)
- Back (latissimus dorsi or ""lats"")
- Core (abdominals and lower back)
- Legs (quadriceps, hamstrings, and calves)
- How muscles work in pairs (when one contracts, the other relaxes)
- How muscles connect to everyday movements and activities
- The difference between muscle strength and muscle endurance",?,,general,medium,
4,2,1,Bodyweight Exercises,Content,"Bodyweight exercises provide an accessible and effective way for learners to develop muscular strength, endurance, and flexibility without the need for specialized equipment. This step supports learners in understanding the biomechanical principles behind bodyweight training and mastering proper technique for a variety of foundational exercises, which lays the groundwork for a well-rounded fitness program and promotes long-term physical health and wellness.","- Why bodyweight training works (uses your own weight as resistance)
- Basic exercises for each muscle group:
- Arms: Modified push-ups, chair dips
- Shoulders: Arm circles, wall push-ups
- Chest: Standard or knee push-ups
- Back: Superman holds, seated rows with household items
- Core: Planks, curl-ups, bird-dogs
- Legs: Squats, lunges, calf raises
- Proper form and common mistakes to avoid
- Modifications for different fitness levels",?,,general,medium,
4,3,1,Flexibility Training,Content,"Flexibility training is a crucial component of this module, as it supports the development of range of motion, injury prevention, and overall physical well-being. By covering the types of stretching, safe guidelines, and key stretches, this step equips learners with the knowledge and skills to effectively incorporate flexibility into their fitness routines, aligning with the broader objectives of improving strength, mobility, and overall physical health.","- What is flexibility and why it matters
- Types of stretching:
- Static stretching (holding a position)
- Dynamic stretching (moving through a range of motion)
- Safe stretching guidelines:
- Never bounce
- Stretch to the point of tension, not pain
- Hold static stretches for 15-30 seconds
- Breathe normally while stretching
- Key stretches for each major muscle group
- When to stretch (after warming up or after exercise)",?,,general,medium,
4,4,1,Creating Balanced Workouts,Activity,"Components of a complete workout:

    - Warm-up (3-5 minutes)
    - Strength exercises (10-15 minutes)
    - Flexibility exercises (5-10 minutes)
    - Cool-down (2-3 minutes)
  - Sample workout routines for beginners
  - How to track sets and repetitions
  - Signs that an exercise is working

**Activities**

- **Muscle Mapping**: Label muscle groups on a body outline and list exercises for each
- **Form Check**: Practice exercises in front of a mirror or with video recording
- **Stretch Challenge**: Hold each stretch for gradually increasing time
- **Workout Builder**: Create a 15-minute routine with warm-up, strength, and flexibility components

**Visual Supports to Include**

- Labeled diagram of major muscle groups with simple explanations
- Step-by-step photos showing proper form for each exercise
- Common form mistakes illustrated with ""right vs.","- Describe the process of tracking food and beverage intake
- Identify the food groups present in daily meals and snacks
- Analyze personal eating patterns to identify areas for improvement
- Set a specific, achievable goal to enhance nutritional habits",?,,general,medium,
5,1,1,Food as Fuel,Activity,"This step introduces the fundamental concept of food as fuel for the body, highlighting the key nutrients and their roles in providing energy, building and repairing muscles, and supporting physical activity. By understanding how the body utilizes different food sources, learners can make informed choices to support their overall health and athletic performance, aligning with broader educational objectives related to nutrition, wellness, and active lifestyles.","- How your body uses food for energy
- Three main nutrients and what they do:
- Carbohydrates: Quick energy for activities (grains, fruits, vegetables)
- Proteins: Build and repair muscles (meat, beans, dairy)
- Fats: Long-lasting energy and protection (oils, nuts, avocados)
- Balanced meals for active kids
- Timing of meals and snacks around physical activity
- How different foods affect how you feel during exercise",?,,general,medium,
5,2,1,Smart Hydration,Activity,"This step on smart hydration supports learners in understanding the importance of water for bodily functions, recognizing signs of dehydration, and developing strategies for maintaining proper hydration levels. By addressing the physiological and practical aspects of hydration, this step aligns with broader educational objectives of promoting health literacy and self-care skills.","- Why water is essential for your body
- Signs of dehydration:
- Thirst
- Dry mouth
- Headache
- Feeling tired or dizzy
- Dark yellow urine
- How much water you need each day
- When to drink water (before, during, and after activity)
- Hydration tips for hot weather",?,,general,medium,
5,3,1,Healthy Food Choices,Content,"This step supports learners in making informed, healthy food choices to fuel their bodies before and after physical activity. It aligns with broader educational objectives to develop nutrition literacy and empower students to adopt sustainable healthy eating habits that support overall wellbeing.","- MyPlate model simplified (fruits, vegetables, grains, protein, dairy)
- Pre-workout snack ideas:
- Banana with peanut butter
- Apple slices and cheese
- Yogurt with berries
- Whole grain crackers
- Post-workout refueling options
- Reading food labels basics
- Choosing snacks that actually help your body",?,,general,medium,
5,4,1,Nutrition Analysis and Planning,Activity,"Tracking what you eat and drink using a simple food journal
  - Identifying food groups in your meals
  - Looking for patterns in your eating habits
  - Setting one small goal to improve your nutrition

**Activities**

- **Hydration Color Chart**: Track your urine color for a day to check hydration
- **Meal Detective**: Identify the food groups in your meals for one day
- **Snack Creator**: Design three healthy snacks for before or after exercise
- **Water Challenge**: Track how much water you drink for three days

**Visual Supports to Include**

- Colorful MyPlate diagram with simple explanations
- Hydration color chart showing urine colors from light to dark
- Photos of healthy pre- and post-workout snacks
- Infographic showing how food converts to energy during exercise

**Vocabulary Support**

- **Nutrients**: Substances in food that your body needs to work properly
- **Carbohydrates**: Foods that give you quick energy (often called ""carbs"")
- **Protein**: Nutrient that helps build and repair your muscles
- **Dehydration**: When your body doesn't have enough water

**Engagement Strategies**

- **Stop and Think**: ""How does your body feel when you haven't had enough water?","- Tracking what you eat and drink using a simple food journal
- Identifying food groups in your meals
- Looking for patterns in your eating habits
- Setting one small goal to improve your nutrition",?,,general,medium,
6,1,1,The FITT Principle,Content,"The FITT Principle provides a structured framework for designing effective exercise programs, which supports students in developing the knowledge and skills to create personalized fitness plans. By understanding the key components of frequency, intensity, time, and type, students can tailor their workouts to achieve specific health and fitness goals, aligning with broader educational objectives around promoting lifelong physical activity and wellness.","- Define target activities: throwing, rolling, pitching, kicking
- Explain the benefits of target practice: hand-eye coordination, focus, precision
- Demonstrate safe and effective techniques for indoor target practice
- Emphasize the measurable improvement aspect of target activities
- Outline safety considerations for indoor target practice sessions",?,,general,medium,Module: 6 Lesson: 1 Title: The FITT Principle Type: Content
6,2,1,Designing Your Routine,Activity,"Designing a balanced weekly fitness routine supports learners in developing self-regulation skills, achieving sustainable behavior change, and maintaining long-term exercise adherence. By guiding learners through the process of setting realistic goals, structuring varied activities, and adapting to available resources, this step empowers them to create personalized, engaging fitness plans that can be integrated into their lifestyles.","- Setting realistic weekly goals
- Balancing different types of activities:
- Cardio days
- Strength days
- Flexibility/recovery days
- Fun activity days
- Sample weekly schedules for beginners
- Creating workouts that use available space and equipment
- Building variety to keep exercise interesting",?,,general,medium,
6,3,1,Tracking Your Progress,Activity,"Tracking progress is a crucial step in achieving fitness goals, as it provides tangible feedback on improvements and helps maintain motivation. This step supports learners in developing self-awareness, self-monitoring, and goal-setting skills, which are essential for long-term behavior change and the development of healthy lifestyle habits.","- Simple tracking methods:
- Paper fitness journal
- Calendar tracking
- Activity log with ratings
- Before and after fitness tests
- What to record after each workout
- How to tell if you're improving
- Celebrating small wins and milestones",?,,general,medium,
6,4,1,Overcoming Barriers,Activity,"Common challenges for middle school students:

    - Limited time due to homework
    - Lack of equipment
    - Limited space
    - Weather restrictions
    - Lack of motivation
  - Creative solutions for each barrier
  - Building exercise into your daily routine
  - Getting back on track when you miss workouts

**Activities**

- **FITT Formula Worksheet**: Fill in your own FITT plan for one week
- **Activity Menu**: Create a list of activities you enjoy for each fitness component
- **Barrier Buster**: Identify your top three barriers and solutions for each
- **Two-Week Fitness Calendar**: Schedule specific activities, times, and intensity levels

**Visual Supports to Include**

- FITT principle infographic with middle school examples
- Weekly calendar template with sample activities
- Progress tracking chart examples
- Decision tree for overcoming common barriers

**Vocabulary Support**

- **FITT principle**: Formula for creating fitness plans (Frequency, Intensity, Time, Type)
- **Progression**: Gradually increasing how hard or long you exercise
- **Cross-training**: Doing different types of activities to work various muscle groups
- **Recovery**: Rest periods that help your body get stronger

**Engagement Strategies**

- **Stop and Think**: ""What time of day do you have the most energy for exercise?","- Common challenges for middle school students:
- Limited time due to homework
- Lack of equipment
- Limited space
- Weather restrictions
- Lack of motivation
- Creative solutions for each barrier
- Building exercise into your daily routine
- Getting back on track when you miss workouts",?,,general,medium,
7,1,1,Target Activity Basics,Activity,What are target activities?,"- What are target activities?
- Throwing at targets
- Rolling objects toward goals
- Pitching items into containers
- Kicking to specific spots
- Benefits of target practice:
- Improves hand-eye coordination
- Develops focus and concentration
- Builds precision and control
- Provides measurable improvement
- Safety considerations for indoor practice",?,,general,medium,
7,2,1,Throwing Skills,Activity,"Developing proper throwing technique is essential for building fundamental motor skills and coordination. Practicing different types of throws and progressively challenging targets supports the development of accuracy, control, and confidence in physical activity. These skills contribute to overall physical literacy and the ability to participate in a variety of sports and recreational activities.","- Discover everyday items that can serve as effective sports equipment
- Establish clear goals, simple rules, and fair scoring systems for game design
- Balance challenge and success to maintain player engagement
- Utilize tape, pillows, and plastic bottles to create boundaries and targets
- Encourage creativity and problem-solving in game development",?,,general,medium,Module: 7 Lesson: 2 Title: Throwing Skills Type: Activity
7,3,1,Rolling and Pitching Skills,Content,"This step supports the development of fundamental rolling and pitching skills, which are essential for many sports and physical activities. By practicing with a variety of household items, learners can experiment with different techniques, control, and accuracy, laying the groundwork for more advanced skill development and game play. This aligns with broader objectives of cultivating physical literacy and promoting active, healthy lifestyles.","- Proper rolling technique for accuracy
- Underhand pitching basics
- Controlling speed and direction
- Household items that work for practice:
- Rolled up socks
- Small soft balls
- Bean bags
- Paper balls
- DIY targets using common household items",?,,general,medium,
7,4,1,Practice Routines for Small Spaces,Activity,"Creating a practice station in limited space
  - 10-minute skill drills you can do daily
  - Measuring and tracking improvement
  - How to create skill challenges for yourself
  - Adapting sports skills for indoor practice

**Activities**

- **Target Creator**: Design three different targets using household materials
- **Skill Progression Ladder**: Practice with increasingly difficult challenges
- **Accuracy Challenge**: Track improvement in hitting targets over one week
- **Skills Circuit**: Create a rotation of different skills in a small area

**Visual Supports to Include**

- Step-by-step photos showing proper throwing technique
- Diagrams of hand position for different types of throws
- Images of creative homemade targets
- Floor plan layouts for setting up practice areas in small spaces

**Vocabulary Support**

- **Accuracy**: How close you get to your target
- **Trajectory**: The path an object takes through the air
- **Follow-through**: Continuing your motion after releasing an object
- **Weight transfer**: Shifting your body weight as you throw or roll

**Engagement Strategies**

- **Stop and Think**: ""What everyday activities require good aim or accuracy?","- Creating a practice station in limited space
- 10-minute skill drills you can do daily
- Measuring and tracking improvement
- How to create skill challenges for yourself
- Adapting sports skills for indoor practice",?,,general,medium,
8,1,1,Adapting Traditional Games,Activity,"Adapting traditional games allows students to engage in active, participatory learning that develops their problem-solving, creativity, and teamwork skills. By modifying game elements, students learn to make activities accessible and inclusive for all ability levels, supporting the broader educational objectives of promoting physical activity, social-emotional learning, and an appreciation for diverse abilities.","- Principles of game modification:
- Changing playing area size
- Simplifying rules
- Using alternative equipment
- Reducing number of players needed
- Step-by-step examples:
- Mini-basketball with waste paper basket
- Hallway bowling with water bottles
- Sock volleyball over a string
- Indoor obstacle courses
- Safety considerations for indoor play",?,,general,medium,
8,2,1,Creating Games with Household Items,Activity,"Creating games with household items allows students to develop problem-solving, creativity, and critical thinking skills as they design and modify games to meet specific objectives. This hands-on activity reinforces broader educational goals of fostering active engagement, promoting physical activity, and encouraging collaborative learning.","- Everyday items that make great equipment:
- Rolled socks (balls)
- Laundry baskets (goals)
- Pillows (barriers)
- Tape (boundaries/targets)
- Plastic bottles (pins/markers)
- Game design basics:
- Setting clear goals
- Creating simple rules
- Establishing scoring systems
- Making games fair
- Balance between challenge and success",?,,general,medium,
8,3,1,Inclusive Game Design,Content,"Inclusive game design supports learners in developing empathy, problem-solving skills, and an understanding of accessibility considerations. By exploring adaptations and cooperative gameplay, students gain practical experience in creating inclusive recreational activities that cater to diverse needs and abilities, aligning with broader goals of fostering inclusive and equitable learning environments.","- Define the key elements of mindful movement: present-moment focus, purposeful awareness, non-judgmental observation
- Provide examples of mindful movement practices: basic yoga, tai chi-inspired flows, mindful walking
- Discuss how to adapt mindful movement activities to different moods and energy levels",?,,general,medium,Module: 9 Lesson: 3 Title: Mindful Movement Activities
8,4,1,Lifetime Recreation Activities,Activity,"Activities you can enjoy throughout life:

    - Walking/jogging programs
    - Backyard games (badminton, cornhole, etc.","- Activities you can enjoy throughout life:
- Walking/jogging programs
- Backyard games (badminton, cornhole, etc.)
- Dance routines
- Yoga and stretching activities
- Benefits of recreational activities
- Finding activities that match your interests
- How to get family members involved",?,,general,medium,
9,1,1,Movement and Stress Connection,Content,"This step supports learners in understanding the physiological and psychological connections between movement and stress management. By exploring how stress manifests in the body and how exercise can mitigate those effects, learners develop self-awareness and practical strategies for regulating their stress levels. This aligns with the broader objectives of fostering mindfulness, emotional intelligence, and self-care skills for holistic well-being.","- How stress affects your body:
- Tense muscles
- Racing heart
- Faster breathing
- Trouble concentrating
- How exercise helps reduce stress:
- Releases feel-good brain chemicals
- Burns excess energy
- Improves sleep quality
- Provides distraction from worries
- Different types of activities for different feelings
- Recognizing your own stress signals",?,,general,medium,
9,2,1,Breathing and Body Awareness,Quiz,"Practicing breathing and body awareness techniques helps students develop self-regulation skills, improve focus and concentration, and manage stress and anxiety. These practices support broader educational objectives of fostering student well-being, enhancing academic performance, and promoting lifelong habits for mental health and resilience.","- Simple breathing techniques:
- Belly breathing (diaphragmatic breathing)
- Box breathing (inhale, hold, exhale, hold)
- Cooling breath (inhale through nose, exhale through mouth)
- Body scan practice (noticing tension from head to toe)
- Progressive muscle relaxation (tense and release)
- Connecting breath to movement
- Using these techniques before tests or when worried",?,,general,medium,
9,3,1,Mindful Movement Activities,Content,"Engaging in mindful movement activities supports the development of present-moment awareness, self-regulation, and embodied learning. By directing attention to the sensations and experiences of the body in motion, students cultivate the ability to observe their internal states with greater clarity and respond with intention, which are key skills for effective stress management.","- What makes movement ""mindful"":
- Paying attention to how your body feels
- Focusing on the present moment
- Moving with purpose and awareness
- Noticing without judging
- Examples of mindful movement:
- Basic yoga poses
- Tai chi-inspired flowing movements
- Mindful walking
- Tension-release exercises
- Adapting activities for different moods and energy levels",?,,general,medium,
9,4,1,Creating Personal Relaxation Routines,Activity,"Building a stress-management toolkit:

    - Quick stress-busters (1-2 minutes)
    - Short relaxation breaks (5-10 minutes)
    - Longer calming practices (15-20 minutes)
  - When to use different techniques
  - Combining movement with breathing and awareness
  - Setting up a calming space at home
  - Using music, nature, or silence to enhance relaxation

**Activities**

- **Stress Detective**: Identify your personal stress signals and triggers
- **Breath Practice**: Try three different breathing techniques and note their effects
- **Mindful Movement Moments**: Practice 5-minute mindful movement sessions
- **Relaxation Recipe**: Create a personalized routine combining movement and breathing

**Visual Supports to Include**

- Illustrated breathing technique guides with step-by-step instructions
- Simple yoga pose cards with modifications
- Body scan diagram showing common tension areas
- Visual stress scale with coping strategy suggestions

**Vocabulary Support**

- **Mindfulness**: Paying attention to the present moment without judgment
- **Stress response**: How your body reacts when you feel worried or overwhelmed
- **Progressive relaxation**: Tensing and then relaxing different muscle groups
- **Centering**: Bringing your attention to the middle of your body to feel more balanced

**Engagement Strategies**

- **Stop and Think**: ""When do you notice yourself feeling stressed during the day?","- Understand the difference between internal and external motivation
- Develop sustainable fitness habits by starting small and building gradually
- Connect new activities to your existing routines and responsibilities
- Enlist activity buddies and set up visual reminders to stay motivated
- Track your progress in meaningful ways to maintain momentum
- Overcome common motivation challenges and get back on track after breaks",?,,general,medium,Module: 10 Lesson: 4 Title: Motivation Strategies
10,1,1,Lifetime Fitness Vision,Content,"Why staying active throughout life matters
  - What happens to your body when you stay active vs.","- Why staying active throughout life matters
- What happens to your body when you stay active vs. inactive
- Setting long-term vision (middle school, high school, and beyond)
- Different types of fitness goals:
- Performance goals (what you can do)
- Process goals (how often you participate)
- Health goals (how you feel and function)
- Making goals flexible to grow with you",?,,general,medium,
10,2,1,Finding Your Fitness Favorites,Activity,"Exploring a variety of fitness activities allows learners to discover enjoyable and sustainable physical pursuits that align with their personal interests and lifestyle. This step supports the development of self-awareness, intrinsic motivation, and the ability to make informed choices about lifelong physical activity engagement, which are key objectives of a comprehensive lifetime fitness curriculum.","- Exploring different activity categories:
- Individual activities (running, swimming, cycling)
- Partner activities (tennis, badminton)
- Team sports (basketball, soccer, volleyball)
- Adventure activities (hiking, climbing)
- Mindful movement (yoga, tai chi)
- Matching activities to your personality and preferences
- Trying new activities with an open mind
- Physical activities that double as hobbies or social time",?,,general,medium,
10,3,1,Community Fitness Resources,Activity,"This step supports learners in identifying a variety of accessible community-based physical activity resources, which aligns with the broader objectives of promoting lifelong fitness and empowering individuals to take an active role in their health and wellness. By exploring low-cost and virtual options, learners can develop the knowledge and skills to independently access appropriate physical activity opportunities within their local context.","- Where to find physical activity opportunities:
- School programs and intramurals
- Community centers and parks
- Recreation leagues
- Online resources and videos
- Local events (fun runs, community walks)
- Low-cost and no-cost activity options
- How to find information about local programs
- Virtual options when in-person activities aren't available",?,,general,medium,
10,4,1,Motivation Strategies,Activity,"Understanding motivation types:

    - Internal motivation (doing things because you enjoy them)
    - External motivation (doing things for rewards or recognition)
  - Building sustainable habits:

    - Starting small and building gradually
    - Connecting activities to things you already do
    - Finding activity buddies
    - Setting up visual reminders
    - Tracking progress in meaningful ways
  - Overcoming common motivation challenges
  - Getting back on track after breaks

**Activities**

- **Activity Explorer**: Try three new physical activities and rate your enjoyment
- **Vision Board**: Create a visual representation of your fitness future
- **Resource Round-Up**: Research and list at least five fitness resources in your community
- **Motivation Toolbox**: Develop a list of strategies for when motivation is low

**Visual Supports to Include**

- Example vision boards from other middle school students
- Decision tree for finding activities that match your interests
- Community resource map template
- Motivation strategy cards with visual cues

**Vocabulary Support**

- **Vision**: A picture of what you want your future to look like
- **Intrinsic motivation**: Being active because it feels good or you enjoy it
- **Extrinsic motivation**: Being active for rewards or to avoid consequences
- **Sustainable**: Something you can keep doing for a long time

**Engagement Strategies**

- **Stop and Think**: ""What physical activities do you see yourself enjoying five years from now?","- Understanding motivation types:
- Internal motivation (doing things because you enjoy them)
- External motivation (doing things for rewards or recognition)
- Building sustainable habits:
- Starting small and building gradually
- Connecting activities to things you already do
- Finding activity buddies
- Setting up visual reminders
- Tracking progress in meaningful ways
- Overcoming common motivation challenges
- Getting back on track after breaks",?,,general,medium,
